Lý do,Key,Promotion Master Code,Promotion Code,Promo. Detail Line ID,Allocation Code,Brand Code,Brand Name,Section Code,Section Name,Expense Code,Expense Name,Allocation Percent,PA No,Promotion Bus Posting Group,Product Code (Material),Created By,Created Date,Created Time,Last Updated By,Last Updated Date,Last Updated Time,Deleted
Mức (detail line) đã xóa trên SFA,EPS2609009000194240202042105,EPS2609009,0001,4,942,402020,Retail,42105,Tradition Trade Sales,6321999999,COGS_PROMOTION BY PRODUCT,100,,,,truc_mt,46274,0.46203703703704002,truc_mt,46274,0.58342592592593001,
Mức (detail line) đã xóa trên SFA,EPS2609009000194340202042105,EPS2609009,0001,4,943,402020,Retail,42105,Tradition Trade Sales,6321999999,COGS_PROMOTION BY PRODUCT,100,,,,truc_mt,46274,0.46203703703704002,truc_mt,46274,0.58342592592593001,
Mức (detail line) đã xóa trên SFA,EPS2609009000194440202042105,EPS2609009,0001,4,944,402020,Retail,42105,Tradition Trade Sales,6321999999,COGS_PROMOTION BY PRODUCT,100,,,,truc_mt,46274,0.46203703703704002,truc_mt,46274,0.58342592592593001,
Mức (detail line) đã xóa trên SFA,EPS2609009000194540202042105,EPS2609009,0001,4,945,402020,Retail,42105,Tradition Trade Sales,6321999999,COGS_PROMOTION BY PRODUCT,100,,,,truc_mt,46274,0.46203703703704002,truc_mt,46274,0.58342592592593001,
Mức (detail line) đã xóa trên SFA,EPS2609009000194640202042105,EPS2609009,0001,4,946,402020,Retail,42105,Tradition Trade Sales,6321999999,COGS_PROMOTION BY PRODUCT,100,,,,truc_mt,46274,0.46203703703704002,truc_mt,46274,0.58342592592593001,
Mức (detail line) đã xóa trên SFA,EPS2609009000194740202042105,EPS2609009,0001,4,947,402020,Retail,42105,Tradition Trade Sales,6321999999,COGS_PROMOTION BY PRODUCT,100,,,,truc_mt,46274,0.46203703703704002,truc_mt,46274,0.58342592592593001,
Mức (detail line) đã xóa trên SFA,EPS2609009000194840202042105,EPS2609009,0001,4,948,402020,Retail,42105,Tradition Trade Sales,6321999999,COGS_PROMOTION BY PRODUCT,100,,,,truc_mt,46274,0.46203703703704002,truc_mt,46274,0.58342592592593001,
Mức (detail line) đã xóa trên SFA,EPS2609009000194140202042105,EPS2609009,0001,5,941,402020,Retail,42105,Tradition Trade Sales,6321999999,COGS_PROMOTION BY PRODUCT,100,,,,truc_mt,46274,0.46203703703704002,truc_mt,46274,0.58342592592593001,
Mức (detail line) đã xóa trên SFA,EPS2609009000194240202042105,EPS2609009,0001,5,942,402020,Retail,42105,Tradition Trade Sales,6321999999,COGS_PROMOTION BY PRODUCT,100,,,,truc_mt,46274,0.46203703703704002,truc_mt,46274,0.58342592592593001,
Mức (detail line) đã xóa trên SFA,EPS2609009000194340202042105,EPS2609009,0001,5,943,402020,Retail,42105,Tradition Trade Sales,6321999999,COGS_PROMOTION BY PRODUCT,100,,,,truc_mt,46274,0.46203703703704002,truc_mt,46274,0.58342592592593001,
Mức (detail line) đã xóa trên SFA,EPS2609009000194440202042105,EPS2609009,0001,5,944,402020,Retail,42105,Tradition Trade Sales,6321999999,COGS_PROMOTION BY PRODUCT,100,,,,truc_mt,46274,0.46203703703704002,truc_mt,46274,0.58342592592593001,
Mức (detail line) đã xóa trên SFA,EPS2609009000194540202042105,EPS2609009,0001,5,945,402020,Retail,42105,Tradition Trade Sales,6321999999,COGS_PROMOTION BY PRODUCT,100,,,,truc_mt,46274,0.46203703703704002,truc_mt,46274,0.58342592592593001,
Mức (detail line) đã xóa trên SFA,EPS2609009000194640202042105,EPS2609009,0001,5,946,402020,Retail,42105,Tradition Trade Sales,6321999999,COGS_PROMOTION BY PRODUCT,100,,,,truc_mt,46274,0.46203703703704002,truc_mt,46274,0.58342592592593001,
Mức (detail line) đã xóa trên SFA,EPS2609009000194740202042105,EPS2609009,0001,5,947,402020,Retail,42105,Tradition Trade Sales,6321999999,COGS_PROMOTION BY PRODUCT,100,,,,truc_mt,46274,0.46203703703704002,truc_mt,46274,0.58342592592593001,
Mức (detail line) đã xóa trên SFA,EPS2609009000194840202042105,EPS2609009,0001,5,948,402020,Retail,42105,Tradition Trade Sales,6321999999,COGS_PROMOTION BY PRODUCT,100,,,,truc_mt,46274,0.46203703703704002,truc_mt,46274,0.58342592592593001,
Mức (detail line) đã xóa trên SFA,EPS2609009000194140202042105,EPS2609009,0001,6,941,402020,Retail,42105,Tradition Trade Sales,6321999999,COGS_PROMOTION BY PRODUCT,100,,,,truc_mt,46274,0.46203703703704002,truc_mt,46274,0.58342592592593001,
Mức (detail line) đã xóa trên SFA,EPS2609009000194240202042105,EPS2609009,0001,6,942,402020,Retail,42105,Tradition Trade Sales,6321999999,COGS_PROMOTION BY PRODUCT,100,,,,truc_mt,46274,0.46203703703704002,truc_mt,46274,0.58342592592593001,
Mức (detail line) đã xóa trên SFA,EPS2609009000194340202042105,EPS2609009,0001,6,943,402020,Retail,42105,Tradition Trade Sales,6321999999,COGS_PROMOTION BY PRODUCT,100,,,,truc_mt,46274,0.46203703703704002,truc_mt,46274,0.58342592592593001,
Mức (detail line) đã xóa trên SFA,EPS2609009000194440202042105,EPS2609009,0001,6,944,402020,Retail,42105,Tradition Trade Sales,6321999999,COGS_PROMOTION BY PRODUCT,100,,,,truc_mt,46274,0.46203703703704002,truc_mt,46274,0.58342592592593001,
Mức (detail line) đã xóa trên SFA,EPS2609009000194540202042105,EPS2609009,0001,6,945,402020,Retail,42105,Tradition Trade Sales,6321999999,COGS_PROMOTION BY PRODUCT,100,,,,truc_mt,46274,0.46203703703704002,truc_mt,46274,0.58342592592593001,
