DocumentCode,OrderNumber,InvoiceNumber,FileNames,FirstSyncTime,LastSyncTime,Status,AllUploaded,TruncatedBatch
SPSI0000000196,SO0000000299,1001.1C26TDN,"PostedPromotionResultCSV_20260714152511.txt | SalesInvoiceDetailCSV_20260714152511.txt | SalesInvoiceHeaderCSV_20260714152511.txt",2026-07-14T08:25:12.248Z,2026-07-14T08:25:13.835Z,Success,true,false
SPSI0000000207,SO0000000301,1015.1C26TDN,"PostedPromotionResultCSV_20260714180004.txt | SalesInvoiceDetailCSV_20260714180004.txt | SalesInvoiceHeaderCSV_20260714180004.txt",2026-07-14T11:00:07.042Z,2026-07-14T11:00:08.040Z,Success,true,true
SPSI0000000205,SO0000000303,1012.1C26TDN,"PostedPromotionResultCSV_20260714180004.txt | SalesInvoiceDetailCSV_20260714180004.txt | SalesInvoiceHeaderCSV_20260714180004.txt",2026-07-14T11:00:07.042Z,2026-07-14T11:00:08.040Z,Success,true,true
SPSI0000000202,SO0000000304,1009.1C26TDN,"PostedPromotionResultCSV_20260714180004.txt | SalesInvoiceDetailCSV_20260714180004.txt | SalesInvoiceHeaderCSV_20260714180004.txt",2026-07-14T11:00:07.042Z,2026-07-14T11:00:08.040Z,Success,true,true
SPSI0000000218,SO0000000305,1026.1C26TDN,"PostedPromotionResultCSV_20260714180004.txt | SalesInvoiceDetailCSV_20260714180004.txt | SalesInvoiceHeaderCSV_20260714180004.txt",2026-07-14T11:00:07.042Z,2026-07-14T11:00:08.040Z,Success,true,true
SPSI0000000204,SO0000000306,1011.1C26TDN,"PostedPromotionResultCSV_20260714180004.txt | SalesInvoiceDetailCSV_20260714180004.txt | SalesInvoiceHeaderCSV_20260714180004.txt",2026-07-14T11:00:07.042Z,2026-07-14T11:00:08.040Z,Success,true,true
SPSI0000000200,SO0000000307,1007.1C26TDN,"PostedPromotionResultCSV_20260714180004.txt | SalesInvoiceDetailCSV_20260714180004.txt | SalesInvoiceHeaderCSV_20260714180004.txt",2026-07-14T11:00:07.042Z,2026-07-14T11:00:08.040Z,Success,true,true
SPSI0000000203,SO0000000308,1010.1C26TDN,"PostedPromotionResultCSV_20260714180004.txt | SalesInvoiceDetailCSV_20260714180004.txt | SalesInvoiceHeaderCSV_20260714180004.txt",2026-07-14T11:00:07.042Z,2026-07-14T11:00:08.040Z,Success,true,true
SPSI0000000199,SO0000000309,1006.1C26TDN,"PostedPromotionResultCSV_20260714180004.txt | SalesInvoiceDetailCSV_20260714180004.txt | SalesInvoiceHeaderCSV_20260714180004.txt",2026-07-14T11:00:07.042Z,2026-07-14T11:00:08.040Z,Success,true,true
SPSI0000000201,SO0000000310,1008.1C26TDN,"PostedPromotionResultCSV_20260714180004.txt | SalesInvoiceDetailCSV_20260714180004.txt | SalesInvoiceHeaderCSV_20260714180004.txt",2026-07-14T11:00:07.042Z,2026-07-14T11:00:08.040Z,Success,true,true
SPSI0000000208,SO0000000311,1014.1C26TDN,"PostedPromotionResultCSV_20260714180004.txt | SalesInvoiceDetailCSV_20260714180004.txt | SalesInvoiceHeaderCSV_20260714180004.txt",2026-07-14T11:00:07.042Z,2026-07-14T11:00:08.040Z,Success,true,true
SPSI0000000213,SO0000000315,1019.1C26TDN,"PostedPromotionResultCSV_20260714180004.txt | SalesInvoiceDetailCSV_20260714180004.txt | SalesInvoiceHeaderCSV_20260714180004.txt",2026-07-14T11:00:07.042Z,2026-07-14T11:00:08.040Z,Success,true,true
SPSI0000000216,SO0000000316,1022.1C26TDN,"PostedPromotionResultCSV_20260714180004.txt | SalesInvoiceDetailCSV_20260714180004.txt | SalesInvoiceHeaderCSV_20260714180004.txt",2026-07-14T11:00:07.042Z,2026-07-14T11:00:08.040Z,Success,true,true
SPSI0000000215,SO0000000318,1021.1C26TDN,"PostedPromotionResultCSV_20260714180004.txt | SalesInvoiceDetailCSV_20260714180004.txt | SalesInvoiceHeaderCSV_20260714180004.txt",2026-07-14T11:00:07.042Z,2026-07-14T11:00:08.040Z,Success,true,true
SPSI0000000217,SO0000000319,1023.1C26TDN,"PostedPromotionResultCSV_20260714180004.txt | SalesInvoiceDetailCSV_20260714180004.txt | SalesInvoiceHeaderCSV_20260714180004.txt",2026-07-14T11:00:07.042Z,2026-07-14T11:00:08.040Z,Success,true,true
SPSI0000000221,SO0000000323,1029.1C26TDN,"PostedPromotionResultCSV_20260714180004.txt | SalesInvoiceDetailCSV_20260714180004.txt | SalesInvoiceHeaderCSV_20260714180004.txt (suy luận - DirectNumber bị cắt, chưa xác nhận trực tiếp trong file)",2026-07-14T11:00:07.042Z,2026-07-14T11:00:08.040Z,Success (suy luận),true,true
