Header (SalesInvoiceHeaderCSV_*),,,,,,,Line item (SalesInvoiceDetailCSV_*),,,,
STT,3rd system,Mapping,SAP system,Examples,,,STT,3rd system,Mapping,SAP system,Examples
2,CustomerCode,1:1,ZR_EMOB_CUS_CODE,NPPAVN,,,,,,,
3,DocumentCode,1:1,ZR_EMOB_SO_NUM,eSO0000694501,,,,,,,
4,PromotionResultLineID,1:1,ZR_PROMO_RESULT_ID,1,,,,,,,
5,DocumentType,1:1,ZR_EMOB_SI_DOC,SalesInvoice,,,,,,,
6,SourceDocumentCode,1:1,ZR_EMOB_SO_NUM,eSO0000694501,,,,,,,
7,SalesOrderDetailLineID,1:1,ZR_EMOB_SO_LINE_ID,1,,,,,,,
8,SalesRouteCode,1:1,ZR_SALES_TEAM_ID,1420000123,,,,,,,
9,PromotionMasterCode,1:1,ZR_PROMO_MASTER_CODE,T_SFA_TEST PROMO3,,,,,,,
10,PromotionCode,1:1,ZR_PROMO_CODE,1,,,,,,,
11,PromotionDescription,1:1,ZR_PROMO_DESC,,,,,,,,
12,PromotionDetailLineID,1:1,ZR_PROMO_DETAIL_ID,1,,,,,,,
13,PromotionType,1:1,ZR_PROMO_KIND,Line,,,,,,,
14,AutoPromotion,1:1,ZR_AUTO_PROMO,TRUE,,,,,,,
15,PromotionBy,1:1,ZR_PROMO_BY,Amount,,,,,,,
16,ProductCode,1:1,ZR_PRODUCT_CODE,140002754,,,,,,,
17,DiscountAmountOnPrice,1:1,ZR_DIS_AMT_PRICE,47870,,,,,,,
18,ProductUOMCode,1:1,ZR_PROD_UOM,,,,,,,,
19,UOMQuantity,1:1,ZR_UOM_QUAN,0,,,,,,,
20,QuantityBaseUOM,1:1,ZR_QUAN_BASE_UOM,0,,,,,,,
21,QuantityBase,1:1,ZR_QUAN_BASE,0,,,,,,,
22,AllocatedPromotionAmount,1:1,ZR_ALLOC_PROMO_AMT,47870,,,,,,,
23,TotalPromotionAmount,1:1,ZR_TOTAL_PROMO_AMT,47870,,,,,,,
24,BudgetCode,1:1,ZR_BUDGET_CODE,,,,,,,,
25,CreatedDate,1:1,ZR_CREATE_DATE,20250821,,,,,,,
26,CreatedTime,1:1,ZR_CREATE_TIME,230024,,,,,,,
27,LastUpdatedDate,1:1,ZR_LAST_UPDATE_DATE,20250821,,,,,,,
28,LastUpdatedTime,1:1,ZR_LAST_UPDATE_TIME,230024,,,,,,,
29,ProductName,1:1,ZR_PRODUCT_NAME,AQ-150G-WET CRISPY FLOUR-(07.22),,,,,,,
30,ProductName2,1:1,ZR_PRODUCT_NAME_2,Bột Chiên Giòn Aji-Quick 150g6,,,,,,,
31,BudgetDescription,1:1,ZR_BUDGET_DESC,,,,,,,,
32,Budget,1:1,ZR_BUDGET,,,,,,,,
33,InvNoItemForPromotion,1:1,ZR_INV_FOR_PROMOTION,,,,,,,,
